int	int	string	string	int	int[]	int	int	DTItemNum[]	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int[]	int[]	int[]	int	int	int	int	int	int	int	int
1109	9	旧金山	San Francisco	5	11035;11036;11037;11038;11039	90000	272	2:150000;9002:50	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	1101	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	42;220	6102;5005	100;50;25;12	8	100	1108	1110	0	0	101	1109
1110	10	匹兹堡	Pittsburgh	5	11040;11041;11042;11043;11044	100000	292	2:150000;9004:5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	1102	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	42;220	6102	100;50;25;12	8	100	1109	1111	0	0	101	1110
1111	11	亚特兰大	Atlanta	6	11045;11046;11047;11048;11049;11050	111000	483	2:150000;9004:5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	50;296	6104;6103;5005	100;50;25;12	8	100	1110	1112	0	0	101	1111
1112	12	檀香山	Honolulu	6	11051;11052;11053;11054;11055;11056	122000	528	2:250000;9001:50	0	0	0	0	0	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	12	0	0	0	0	50;296	6104;6109	100;50;25;12	8	100	1111	1113	0	0	101	1112
1113	13	阿拉斯加	Alaska	6	11057;11058;11059;11060;11061;11062	133000	573	2:250000;9004:5	0	0	0	0	28	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	27	0	0	60;375	6104;6102;5005	100;50;25;12	8	100	1112	1114	0	0	101	1113
1114	14	西雅图	Seattle	6	11063;11064;11065;11066;11067;11068	138000	618	2:250000;9004:5	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	33	0	0	0	0	60;375	6105;6103	100;50;25;12	8	100	1113	1115	0	0	101	1114
1115	15	辛辛那提	Cincinati	6	11069;11070;11071;11072;11073;11074	145000	663	2:350000;9002:50	0	0	0	0	0	0	46	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	40	0	0	0	0	73;458	6105;6109;5005	100;50;25;12	8	100	1114	1116	0	0	101	1115
1116	16	克利夫兰	Cleveland	7	11075;11076;11077;11078;11079;11080;11081	196000	717	2:350000;9004:5	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	54	0	0	0	0	73;458	6105;6102	100;50;25;12	8	100	1115	1117	0	0	101	1116
1117	17	圣路易斯	St Louis	7	11082;11083;11084;11085;11086;11087;11088	229000	771	2:350000;9004:5	0	0	0	0	0	0	63	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	64	0	0	0	0	0	0	0	1502	67	0	0	0	0	87;539	6104;5005	100;50;25;12	8	100	1116	1118	0	0	101	1117
1118	18	麦迪逊	Madison	7	11089;11090;11091;11092;11093;11094;11095	257000	825	2:530000;9001:50	0	0	0	0	0	78	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	70	0	0	0	0	0	1201	0	0	0	0	75	0	0	0	1202	0	0	71	0	0	0	0	87;611	6104	100;50;25;12	8	100	1117	1119	0	0	101	1118
1119	19	圣保罗	St Paul	7	11096;11097;11098;11099;11100;11101;11102	286000	879	2:530000;9004:5	0	0	0	0	0	0	89	0	0	1101	0	0	0	89	0	0	0	0	0	1202	0	0	81	0	0	0	0	0	0	1402	0	86	0	0	0	0	0	1201	0	0	0	0	80	0	0	104;611	6105;5005	100;50;25;12	8	100	1118	1120	0	0	101	1119
1120	20	菲尼克斯	Phoenix	7	11103;11104;11105;11106;11107;11108;11109	314000	933	2:530000;9004:5	0	0	0	1501	0	93	0	0	0	0	0	1402	0	0	0	94	0	0	0	1202	0	0	0	92	0	0	0	0	0	0	1501	0	98	0	0	0	1102	0	0	0	0	0	99	0	0	104;611	6105	100;50;25;12	8	100	1119	1121	0	0	101	1120
1121	21	塞勒姆	Salem	8	11110;11111;11112;11113;11114;11115;11116;11117	344000	1340	2:740000;9002:50	0	1201	0	0	0	0	101	0	0	0	0	1402	0	103	0	0	0	0	0	0	0	1502	0	100	0	0	0	1102	0	0	0	102	0	0	0	0	0	1201	0	0	0	101	0	0	0	125;708	6103;5005	100;50;25;12	8	100	1120	1122	0	0	101	1121
1122	22	哥伦布	Columbus	8	11118;11119;11120;11121;11122;11123;11124;11125	358000	1436	2:740000;9004:5	0	0	1401	0	110	0	0	0	0	0	1201	0	0	0	0	115	0	0	0	0	1402	0	0	116	0	0	0	0	0	0	1502	115	0	0	0	0	1101	0	0	0	0	0	110	0	0	125;708	6103	100;50;25;12	8	100	1121	1123	0	0	101	1122
1123	23	达拉斯	Dallas	8	11126;11127;11128;11129;11130;11131;11132;11133	372000	1532	2:740000;9004:5	0	1202	0	0	128	0	0	0	0	0	0	1402	0	0	124	0	0	0	1102	0	0	0	0	121	0	0	0	0	0	0	1501	0	0	127	0	0	0	0	1401	0	0	0	127	0	0	150;814	6109;5005	100;50;25;12	8	100	1122	1124	0	0	101	1123
1124	24	法兰克福	Frankfort	8	11134;11135;11136;11137;11138;11139;11140;11141	389000	1628	2:960000;9001:50	0	1202	0	0	0	132	0	0	0	1101	0	0	0	0	138	0	0	0	0	0	1401	0	0	0	134	0	0	0	1201	0	0	0	132	0	0	0	0	0	0	1501	0	0	132	0	0	150;814	6109	100;50;25;12	8	100	1123	1125	0	0	101	1124
1125	25	夏威夷	Hawaii	8	11142;11143;11144;11145;11146;11147;11148;11149	408000	1724	2:960000;9004:5	0	0	0	1502	0	143	0	0	0	1102	0	0	0	147	0	0	0	0	0	1201	0	0	0	0	149	0	0	0	0	1401	0	0	0	148	0	0	0	1201	0	0	0	0	144	0	0	181;917	6102;5005	100;50;25;12	8	100	1124	1126	0	0	101	1125
1126	26	哥伦比亚	Columbia	8	11150;11151;11152;11153;11154;11155;11156;11157	544000	1836	2:960000;9004:5	0	0	1402	0	0	0	151	0	0	0	0	0	1502	0	0	159	0	0	0	1201	0	0	157	0	0	0	0	1101	0	0	0	152	0	0	0	0	0	0	1402	0	0	0	158	0	0	181;917	6102	100;50;25;12	8	100	1125	1127	0	0	101	1126
1127	27	杰克逊	Jackson	8	11158;11159;11160;11161;11162;11163;11164;11165	604000	1948	2:1140000;9002:50	0	1202	0	0	169	0	0	0	0	0	0	0	1501	0	162	0	0	0	0	0	1401	0	0	166	0	0	0	0	1202	0	0	167	0	0	0	0	0	0	0	1501	0	0	164	0	0	217;1014	6104;6103;5005	100;50;25;12	8	100	1126	1128	0	0	101	1127
1128	28	盐湖城	Salt Lake City	8	11166;11167;11168;11169;11170;11171;11172;11173	664000	2060	2:1140000;9004:5	1101	0	0	0	0	174	0	0	0	0	1201	0	0	0	173	0	0	0	0	0	0	1501	0	177	0	0	0	0	0	0	1502	0	172	0	0	0	1102	0	0	0	170	0	0	0	0	217;1014	6104;6109	100;50;25;12	8	100	1127	1129	0	0	101	1128
1129	29	迈阿密	Miami	8	11174;11175;11176;11177;11178;11179;11180;11181	724000	2172	2:1140000;9004:5	0	0	1401	0	0	0	187	0	0	0	0	1401	0	0	186	0	0	0	0	1201	0	0	182	0	0	0	0	0	0	1402	0	183	0	0	0	0	0	0	0	1502	0	0	185	0	0	260;1117	6104;6102;5005	100;50;25;12	8	100	1128	1130	0	0	101	1129
1130	30	蒙哥马利	Montgomery	8	11182;11183;11184;11185;11186;11187;11188;11189	753000	2284	2:1350000;9001:50	1101	0	0	0	0	0	198	0	0	0	1202	0	0	190	0	0	0	0	0	0	1402	0	0	191	0	0	0	1101	0	0	0	192	0	0	0	0	0	0	0	1501	197	0	0	0	0	260;1117	6105;6103	100;50;25;12	8	100	1129	1131	0	0	101	1130
1131	31	奥斯汀	Austin	9	11190;11191;11192;11193;11194;11195;11196;11197;11198	783000	3030	2:1350000;9004:5	0	0	1401	0	0	202	0	0	0	0	1202	0	0	0	0	200	0	0	1101	0	0	0	0	0	203	0	0	0	0	0	1501	0	0	202	0	0	0	1201	0	0	0	0	202	0	0	312;1236	6105;6109;5005	100;50;25;12	8	100	1130	1132	0	0	101	1131
1132	32	堪萨斯城	Kansas City	9	11199;11200;11201;11202;11203;11204;11205;11206;11207	830000	3205	2:1350000;9004:5	1101	0	0	0	216	0	0	0	0	0	0	1402	0	0	218	0	0	0	1102	0	0	0	212	0	0	0	0	0	0	0	1502	0	212	0	0	0	0	0	1401	0	0	219	0	0	0	312;1236	6105;6102	100;50;25;12	8	100	1131	1133	0	0	101	1132
1133	33	新奥尔良	New Orleans	9	11208;11209;11210;11211;11212;11213;11214;11215;11216	860000	3380	2:1530000;9002:50	0	1201	0	0	220	0	0	0	0	1101	0	0	0	0	229	0	0	0	0	0	0	1502	0	0	220	0	0	1101	0	0	0	0	227	0	0	0	0	1202	0	0	222	0	0	0	0	374;1361	6104;5005	100;50;25;12	8	100	1132	1134	0	0	101	1133
1134	34	海伦娜	Helena	9	11217;11218;11219;11220;11221;11222;11223;11224;11225	895000	3555	2:1530000;9004:5	0	0	1402	0	0	0	233	0	0	0	0	0	1501	237	0	0	0	0	0	0	0	1501	0	0	239	0	0	0	0	1402	0	238	0	0	0	0	0	1202	0	0	0	0	231	0	0	374;1361	6104	100;50;25;12	8	100	1133	1135	0	0	101	1134
1135	35	拉斯维加斯	Las Vegas	9	11226;11227;11228;11229;11230;11231;11232;11233;11234	930000	3730	2:1530000;9004:5	1101	0	0	0	0	0	245	0	0	0	0	0	1502	0	240	0	0	0	0	1201	0	0	0	0	245	0	0	1101	0	0	0	242	0	0	0	0	0	0	1401	0	242	0	0	0	0	449;1497	6105;5005	100;50;25;12	8	100	1134	1136	0	0	101	1135
1136	36	巴尔的摩	Baltimore	9	11235;11236;11237;11238;11239;11240;11241;11242;11243	965000	3930	2:1790000;9001:50	0	0	0	1502	251	0	0	0	0	1102	0	0	0	251	0	0	0	0	1101	0	0	0	253	0	0	0	0	0	0	1401	0	0	0	258	0	0	0	1201	0	0	254	0	0	0	0	449;1497	6105	100;50;25;12	8	100	1135	1137	0	0	101	1136
1137	37	丹佛	Denver	9	11244;11245;11246;11247;11248;11249;11250;11251;11252	1005000	4130	2:1790000;9004:5	1102	0	0	0	0	0	267	0	0	0	0	0	1502	0	260	0	0	0	0	1202	0	0	0	260	0	0	0	0	0	0	1501	0	263	0	0	0	0	0	1402	0	0	0	266	0	0	539;1647	6103;5005	100;50;25;12	8	100	1136	1138	0	0	101	1137
1138	38	奥兰多	Orlando	9	11253;11254;11255;11256;11257;11258;11259;11260;11261	1045000	4330	2:1790000;9004:5	1101	0	0	0	0	270	0	0	0	0	0	0	1501	272	0	0	0	0	0	0	1401	0	0	0	278	0	0	0	1202	0	0	279	0	0	0	0	1101	0	0	0	275	0	0	0	0	539;1647	6103	100;50;25;12	8	100	1137	1139	0	0	101	1138
1139	39	塞班岛	Saipan	9	11262;11263;11264;11265;11266;11267;11268;11269;11270	1085000	4530	2:2080000;9002:50	0	0	0	1501	0	289	0	0	0	0	1201	0	0	0	282	0	0	0	1102	0	0	0	0	281	0	0	0	0	0	1401	0	0	280	0	0	0	1102	0	0	0	0	281	0	0	0	647;1811	6109;5005	100;50;25;12	8	100	1138	1140	0	0	101	1139
1140	40	曼哈顿	Manhattan	9	11271;11272;11273;11274;11275;11276;11277;11278;11279	1125000	4730	2:2080000;9004:5	0	0	0	1501	0	0	291	0	0	0	0	1401	0	299	0	0	0	0	0	1201	0	0	0	299	0	0	0	1101	0	0	0	294	0	0	0	0	0	0	0	1502	0	0	299	0	0	647;1811	6109	100;50;25;12	8	100	1139	1141	0	0	101	1140
1141	41	温哥华	Vancouver	8	11280;11281;11282;11283;11284;11285;11286;11287	1170000	5964	2:2080000;5007:2	1102	0	0	0	0	301	0	0	0	0	0	0	1501	0	0	300	0	0	0	0	1401	0	0	303	0	0	0	0	1201	0	0	306	0	0	0	0	1102	0	0	0	0	306	0	0	0	712;1992	6102;5005	100;50;25;12	8	100	1140	1142	0	0	102	1141
1142	42	多伦多	Toronto	8	11288;11289;11290;11291;11292;11293;11294;11295	1212000	6252	2:2450000;5007:2	0	0	0	1502	0	311	0	0	0	0	0	1401	0	317	0	0	0	0	0	1202	0	0	0	311	0	0	0	0	0	1402	0	315	0	0	0	0	1102	0	0	0	0	0	317	0	0	712;1992	6102	100;50;25;12	8	100	1141	1143	0	0	102	1142
1143	43	蒙特利尔	Montreal	8	11296;11297;11298;11299;11300;11301;11302;11303	1255000	6540	2:2450000;5007:2	0	0	0	1501	0	324	0	0	0	0	0	1402	0	323	0	0	0	0	0	1202	0	0	327	0	0	0	0	1102	0	0	0	0	326	0	0	0	0	0	0	1502	0	0	326	0	0	783;2192	6104;6103;5005	100;50;25;12	8	100	1142	1144	0	0	102	1143
1144	44	魁北克	Quebec City	8	11304;11305;11306;11307;11308;11309;11310;11311	1300000	6828	2:2450000;5007:2	0	1201	0	0	0	335	0	0	0	0	0	1402	0	339	0	0	0	0	1102	0	0	0	0	332	0	0	0	0	0	0	1502	0	337	0	0	0	0	0	1401	0	0	330	0	0	0	783;2192	6104;6109	100;50;25;12	8	100	1143	1145	0	0	102	1144
1145	45	维多利亚	Victoria	8	11312;11313;11314;11315;11316;11317;11318;11319	1346000	7116	2:2840000;5007:2	0	1201	0	0	345	0	0	0	0	1101	0	0	0	0	343	0	0	0	0	0	0	1502	0	346	0	0	0	0	1202	0	0	340	0	0	0	0	0	0	0	1501	0	0	345	0	0	861;2411	6104;6102;5005	100;50;25;12	8	100	1144	1146	0	0	102	1145
1146	46	渥太华	Ottawa	8	11320;11321;11322;11323;11324;11325;11326;11327	1394000	7440	2:2840000;5007:2	0	0	1402	0	358	0	0	0	0	0	1201	0	0	0	356	0	0	0	0	0	0	1501	0	357	0	0	0	0	0	1402	0	352	0	0	0	0	0	1202	0	0	357	0	0	0	0	861;2411	6105;6103	100;50;25;12	8	100	1145	1147	0	0	102	1146
1147	47	卡尔加里	Calgary	8	11328;11329;11330;11331;11332;11333;11334;11335	1443000	7764	2:2840000;5007:2	0	0	1401	0	0	361	0	0	0	0	0	0	1501	0	0	361	0	0	0	1201	0	0	0	0	368	0	0	0	0	1401	0	0	360	0	0	0	0	0	0	1502	0	0	362	0	0	947;2653	6105;6109;5005	100;50;25;12	8	100	1146	1148	0	0	102	1147
1148	48	尼亚加拉	Niagara	8	11336;11337;11338;11339;11340;11341;11342;11343	1494000	8088	2:3280000;5007:2	1102	0	0	0	375	0	0	0	0	0	0	0	1502	376	0	0	0	0	0	0	1401	0	0	0	376	0	0	0	1201	0	0	370	0	0	0	0	0	1202	0	0	0	379	0	0	0	947;2653	6105;6102	100;50;25;12	8	100	1147	1149	0	0	102	1148
1149	49	黄刀镇	Yellowknife	8	11344;11345;11346;11347;11348;11349;11350;11351	1548000	8412	2:3280000;5007:2	0	0	0	1502	387	0	0	0	0	1101	0	0	0	0	388	0	0	0	0	1202	0	0	0	387	0	0	0	0	0	1402	0	0	0	382	0	0	0	1201	0	0	0	383	0	0	0	1042;2919	6104;5005	100;50;25;12	8	100	1148	1150	0	0	102	1149
1150	50	惠斯勒	Whistler	8	11352;11353;11354;11355;11356;11357;11358;11359	1603000	8736	2:3280000;5007:2	0	0	0	1501	0	392	0	0	0	0	0	1402	0	0	393	0	0	0	0	1202	0	0	0	391	0	0	0	0	0	0	1501	0	0	392	0	0	1102	0	0	0	395	0	0	0	0	1042;2919	6104	100;50;25;12	8	100	1149	1151	0	0	102	1150
1151	51	埃德蒙顿	Edmonton	8	11360;11361;11362;11363;11364;11365;11366;11367	1659000	10633	2:4190000;5007:2	0	1201	0	0	404	0	0	0	0	0	0	1402	0	0	0	406	0	0	0	0	0	1502	0	402	0	0	0	1102	0	0	0	0	0	409	0	0	0	1201	0	0	402	0	0	0	0	1146;3211	6105;5005	100;50;25;12	8	100	1150	1152	0	0	102	1151
1152	52	金斯顿	Kingston	8	11368;11369;11370;11371;11372;11373;11374;11375	1718000	11074	2:4190000;5007:2	0	0	1401	0	0	416	0	0	0	0	1201	0	0	414	0	0	0	0	0	0	1402	0	410	0	0	0	0	0	0	0	1502	0	411	0	0	0	1101	0	0	0	0	411	0	0	0	1146;3211	6105	100;50;25;12	8	100	1151	1153	0	0	102	1152
1153	53	哈利法克斯	Halifax	8	11376;11377;11378;11379;11380;11381;11382;11383	1780000	11515	2:4190000;5007:2	0	1202	0	0	0	0	428	0	0	0	0	1402	0	0	421	0	0	0	1102	0	0	0	423	0	0	0	0	0	0	0	1501	421	0	0	0	0	0	0	1401	0	0	425	0	0	0	1261;3533	6103;5005	100;50;25;12	8	100	1152	1154	0	0	102	1153
1154	54	基洛纳	Kelowna	8	11384;11385;11386;11387;11388;11389;11390;11391	1843000	11956	2:5090000;5007:2	0	1202	0	0	436	0	0	0	0	1101	0	0	0	436	0	0	0	0	0	0	1401	0	433	0	0	0	0	0	1201	0	0	0	0	438	0	0	0	0	0	1501	437	0	0	0	0	1261;3533	6103	100;50;25;12	8	100	1153	1155	0	0	102	1154
1155	55	哈密尔顿	Hamilton	8	11392;11393;11394;11395;11396;11397;11398;11399	1908000	12397	2:5090000;5007:2	0	0	0	1502	444	0	0	0	0	1102	0	0	0	441	0	0	0	0	0	1201	0	0	0	0	440	0	0	0	0	1401	0	441	0	0	0	0	0	1201	0	0	0	0	446	0	0	1387;3886	6109;5005	100;50;25;12	8	100	1154	1156	0	0	102	1155
1156	56	温尼伯	Winnipeg	8	11400;11401;11402;11403;11404;11405;11406;11407	1976000	12887	2:5090000;5007:2	0	0	1402	0	0	0	454	0	0	0	0	0	1502	454	0	0	0	0	0	1201	0	0	455	0	0	0	0	1101	0	0	0	0	454	0	0	0	0	0	1402	0	0	0	457	0	0	1387;3886	6109	100;50;25;12	8	100	1155	1157	0	0	102	1156
1157	57	滑铁卢	Waterloo	8	11408;11409;11410;11411;11412;11413;11414;11415	2046000	13377	2:5890000;5007:2	0	1202	0	0	463	0	0	0	0	0	0	0	1501	0	0	462	0	0	0	0	1401	0	461	0	0	0	0	0	1202	0	0	0	467	0	0	0	0	0	0	1501	462	0	0	0	0	1525;4275	6102;5005	100;50;25;12	8	100	1156	1158	0	0	102	1157
1158	58	史密斯堡	Fort Smith Region	8	11416;11417;11418;11419;11420;11421;11422;11423	2119000	13867	2:5890000;5007:2	1101	0	0	0	0	479	0	0	0	0	1201	0	0	0	471	0	0	0	0	0	0	1501	0	0	479	0	0	0	0	0	1502	0	0	479	0	0	1102	0	0	0	0	0	477	0	0	1525;4275	6102	100;50;25;12	8	100	1157	1159	0	0	102	1158
1159	59	怀特霍斯	Whitehorse	8	11424;11425;11426;11427;11428;11429;11430;11431	2194000	14357	2:5890000;5007:2	0	0	1401	0	486	0	0	0	0	0	0	1401	0	0	484	0	0	0	0	1201	0	0	484	0	0	0	0	0	0	1402	0	0	481	0	0	0	0	0	0	1502	0	486	0	0	0	1678;4703	6104;6103;5005	100;50;25;12	8	100	1158	1160	0	0	102	1159
1160	60	约克区	York Region	8	11432;11433;11434;11435;11436;11437;11438;11439	2272000	14847	2:6770000;5007:2	1101	0	0	0	0	498	0	0	0	0	1202	0	0	0	490	0	0	0	0	0	1402	0	496	0	0	0	0	1101	0	0	0	0	0	496	0	0	0	0	0	1501	0	0	491	0	0	1678;4703	6104;6109	100;50;25;12	8	100	1159	1161	0	0	102	1160
1161	61	尼皮辛	Nipissing	9	11440;11441;11442;11443;11444;11445;11446;11447;11448	2353000	17608	2:6770000;5007:2	0	0	1401	0	0	507	0	0	0	0	1202	0	0	0	508	0	0	0	1101	0	0	0	0	507	0	0	0	0	0	0	1501	509	0	0	0	0	0	1201	0	0	0	500	0	0	0	1762;5172	6104;6102;5005	100;50;25;12	8	100	1160	1162	0	0	102	1161
1162	62	帕里桑德	Parry Sound	9	11449;11450;11451;11452;11453;11454;11455;11456;11457	2449000	18248	2:6770000;5007:2	1101	0	0	0	0	0	513	0	0	0	0	1402	0	510	0	0	0	0	1102	0	0	0	511	0	0	0	0	0	0	0	1502	519	0	0	0	0	0	0	1401	0	0	514	0	0	0	1762;5172	6105;6103	100;50;25;12	8	100	1161	1163	0	0	102	1162
1163	63	夏洛特顿	Charlottetown	9	11458;11459;11460;11461;11462;11463;11464;11465;11466	2549000	18888	2:7600000;5007:2	0	1201	0	0	0	0	525	0	0	1101	0	0	0	0	0	520	0	0	0	0	0	1502	0	527	0	0	0	1101	0	0	0	0	0	525	0	0	0	1202	0	0	527	0	0	0	0	1850;5689	6105;6109;5005	100;50;25;12	8	100	1162	1164	0	0	102	1163
1164	64	中奥肯拿根	Central Okanagan	9	11467;11468;11469;11470;11471;11472;11473;11474;11475	2652000	19528	2:7600000;5007:2	0	0	1402	0	0	0	539	0	0	0	0	0	1501	0	0	532	0	0	0	0	0	1501	0	0	530	0	0	0	0	1402	0	531	0	0	0	0	0	1202	0	0	534	0	0	0	0	1850;5689	6105;6102	100;50;25;12	8	100	1163	1165	0	0	102	1164
